data|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-04-16|08:20:10|coffee|Starbucks|-4.75
2023-04-16|09:45:00|monthly subscription|Spotify|-9.99
2023-04-16|13:30:45|lunch meeting|Chipotle|-23.60
2023-04-16|16:05:12|reimbursement|Company XYZ|120.00
2023-04-17|07:00:00|gym membership|Planet Fitness|-29.99
2023-04-17|11:00:00|software license renewal|Adobe|-52.99
2023-04-17|14:25:30|invoice 1002 paid|Client A|2750.00
2023-04-17|15:15:15|printer paper|Staples|-18.20
2023-04-18|09:00:00|Uber ride|Uber|-14.35
2023-04-18|12:45:00|client lunch|Panera Bread|-32.10
2023-04-18|18:30:00|book purchase|Barnes & Noble|-16.99
2023-04-19|10:10:10|invoice 1003 paid|Client B|1800.00
2023-04-19|13:05:00|ad spend|Google Ads|-150.00
2023-04-19|16:45:20|cloud hosting|AWS|-83.24
2023-04-20|07:30:00|breakfast|Dunkin Donuts|-6.50
2023-04-20|10:00:00|stationery|Office Depot|-25.40
2023-04-20|12:30:00|invoice 1004 paid|Client C|950.00
2023-04-21|08:10:00|parking fee|City Parking|-12.00
2023-04-21|09:50:00|web hosting renewal|Bluehost|-120.00
2023-04-21|14:10:00|conference registration|Eventbrite|-200.00
2023-04-22|11:00:00|client payment|Client D|3200.00
2023-04-22|15:45:00|office snacks|Walmart|-58.30
2023-04-22|17:00:00|tax filing|TurboTax|-89.99
2023-04-23|08:25:00|monthly subscription|Notion|-4.00
2023-04-23|11:30:00|client lunch|Olive Garden|-44.85
2023-04-23|16:40:00|invoice 1005 paid|Client E|2900.00
2023-04-24|10:00:00|email software|Mailchimp|-29.99
2023-04-24|13:50:00|transport|Lyft|-18.60
2023-04-24|15:30:00|new monitor|Best Buy|-199.99
2023-04-25|09:30:00|office rent|Landlord|-1250.00
2023-04-25|11:15:00|invoice 1006 paid|Client F|3050.00
2023-04-25|14:25:00|printing service|FedEx Office|-63.20
2023-04-26|08:45:00|fuel|Shell Gas|-47.80
2023-04-26|10:50:00|wifi bill|Comcast|-89.99
2023-04-26|13:00:00|subscription renewal|Canva|-12.95
2023-04-27|07:10:00|coffee and bagel|Starbucks|-7.20
2023-04-27|10:30:00|client call|Zoom|-14.99
2023-04-27|15:45:00|invoice 1007 paid|Client G|2200.00
2023-04-28|09:00:00|coworking space|WeWork|-350.00
2023-04-28|12:15:00|team lunch|Buffalo Wild Wings|-76.50
2023-04-28|16:20:00|business cards|Vistaprint|-34.90
2023-04-29|10:10:00|invoice 1008 paid|Client H|2400.00
2023-04-29|14:00:00|office cleaning|CleanCo|-95.00
2023-04-29|17:15:00|business dinner|Ruth's Chris Steak House|-120.75
2023-04-30|08:30:00|monthly subscription|Dropbox|-11.99
2023-04-30|11:40:00|consulting fee|Consultant Z|-500.00
2023-04-30|15:00:00|invoice 1009 paid|Client I|2650.00
2025-04-29|20:53:44|Refund of CPU and GPU|NVIDIA|1800.00
2025-04-29|20:58:52|Refund of CPU and GPU|NVIDIA|1800.00
2025-04-29|20:59:54|Refund of CPU and GPU|NVIDIA|1800.00
2025-04-29|21:18:38|Refund of CPU and GPU|NVIDIA|1800.00
2025-04-29|21:39:49|My payment|my company|5000.00
2025-04-29|21:44:45|Refund car|mustang|3000.00
2025-04-30|10:51:26|rent|appartments|1500.00
2025-04-30|12:01:30|M|NIKE|45.00
2025-04-30|14:42:54|REFUND|Amazon|200.00
2025-04-30|14:46:04|Car|toyota|-700.00
2025-04-30|18:00:03|Payroll|microsoft|6000.00
2025-04-30|20:57:20|REFUND|puma|500.00
2025-05-01|07:49:55|CAR|BMW|1600.00
2025-05-01|08:47:57|REFUND|NIKE|500.00
2025-05-01|12:04:01|CAR|nissan|40.00
2025-05-01|13:43:49|tickets ping pong|butterfly|200.00
2025-05-01|16:56:24|Pay home|sweet home|2000.00
2025-05-01|20:13:09|PAYROLL|toyota|40000.00
2025-05-01|20:14:32|gift|mall|80.00
2025-05-01|20:15:57|car|bmw|49.00
2025-05-01|20:19:16|RENT|HOME|2000.00
2025-05-01|20:21:48|SAVE|me|400.00
2025-05-01|22:06:45|payroll|amazon|400.00
2025-05-01|22:08:18|CAR|NISSAN|400.00
2025-05-01|22:42:06|CAR|AMAZON|300.00
